Index,Area,Item,Year,pesticides_tonnes,average_rain_fall_mm_per_year,avg_temp,MEASURE,INDICATOR,hg/ha_yield
109,South Africa,Maize,2000,26857,495,20.74,TONNE_HA,CROPYIELD,28492
110,South Africa,Maize,2000,26857,495,15.13,TONNE_HA,CROPYIELD,28492
111,South Africa,Maize,2000,26857,495,18.26,TONNE_HA,CROPYIELD,28492
112,South Africa,Maize,2000,26857,495,15.13,TONNE_HA,CROPYIELD,28492
113,South Africa,Maize,2001,26857,495,21.25,TONNE_HA,CROPYIELD,24371
114,South Africa,Maize,2001,26857,495,15.68,TONNE_HA,CROPYIELD,24371
115,South Africa,Maize,2001,26857,495,18.92,TONNE_HA,CROPYIELD,24371
116,South Africa,Maize,2001,26857,495,15.68,TONNE_HA,CROPYIELD,24371
117,South Africa,Maize,2002,26857,495,21.07,TONNE_HA,CROPYIELD,28516
118,South Africa,Maize,2002,26857,495,15.88,TONNE_HA,CROPYIELD,28516
119,South Africa,Maize,2002,26857,495,19.28,TONNE_HA,CROPYIELD,28516
120,South Africa,Maize,2002,26857,495,15.88,TONNE_HA,CROPYIELD,28516
121,South Africa,Maize,2004,26857,495,21.11,TONNE_HA,CROPYIELD,30305
122,South Africa,Maize,2004,26857,495,15.49,TONNE_HA,CROPYIELD,30305
123,South Africa,Maize,2004,26857,495,18.75,TONNE_HA,CROPYIELD,30305
124,South Africa,Maize,2004,26857,495,15.49,TONNE_HA,CROPYIELD,30305
125,South Africa,Maize,2005,26857,495,21.14,TONNE_HA,CROPYIELD,36351
126,South Africa,Maize,2005,26857,495,16.29,TONNE_HA,CROPYIELD,36351
127,South Africa,Maize,2005,26857,495,19.74,TONNE_HA,CROPYIELD,36351
128,South Africa,Maize,2005,26857,495,16.29,TONNE_HA,CROPYIELD,36351
129,South Africa,Maize,2006,26857,495,20.86,TONNE_HA,CROPYIELD,34122
130,South Africa,Maize,2006,26857,495,15.26,TONNE_HA,CROPYIELD,34122
131,South Africa,Maize,2006,26857,495,18.42,TONNE_HA,CROPYIELD,34122
132,South Africa,Maize,2006,26857,495,15.26,TONNE_HA,CROPYIELD,34122
133,South Africa,Maize,2007,26857,495,21.07,TONNE_HA,CROPYIELD,27921
134,South Africa,Maize,2007,26857,495,15.9,TONNE_HA,CROPYIELD,27921
135,South Africa,Maize,2007,26857,495,18.98,TONNE_HA,CROPYIELD,27921
136,South Africa,Maize,2007,26857,495,15.9,TONNE_HA,CROPYIELD,27921
137,South Africa,Maize,2008,26857,495,20.89,TONNE_HA,CROPYIELD,45373
138,South Africa,Maize,2008,26857,495,15.75,TONNE_HA,CROPYIELD,45373
139,South Africa,Maize,2008,26857,495,18.91,TONNE_HA,CROPYIELD,45373
140,South Africa,Maize,2008,26857,495,15.75,TONNE_HA,CROPYIELD,45373
141,South Africa,Maize,2009,26857,495,20.71,TONNE_HA,CROPYIELD,49640
142,South Africa,Maize,2009,26857,495,15.44,TONNE_HA,CROPYIELD,49640
143,South Africa,Maize,2009,26857,495,18.67,TONNE_HA,CROPYIELD,49640
144,South Africa,Maize,2009,26857,495,15.44,TONNE_HA,CROPYIELD,49640
145,South Africa,Maize,2010,26857,495,21.54,TONNE_HA,CROPYIELD,46736
146,South Africa,Maize,2010,26857,495,16.11,TONNE_HA,CROPYIELD,46736
147,South Africa,Maize,2010,26857,495,19.31,TONNE_HA,CROPYIELD,46736
148,South Africa,Maize,2010,26857,495,16.11,TONNE_HA,CROPYIELD,46736
149,South Africa,Maize,2011,26857,495,20.72,TONNE_HA,CROPYIELD,43671
150,South Africa,Maize,2011,26857,495,15.49,TONNE_HA,CROPYIELD,43671
151,South Africa,Maize,2011,26857,495,18.75,TONNE_HA,CROPYIELD,43671
152,South Africa,Maize,2011,26857,495,15.49,TONNE_HA,CROPYIELD,43671
153,South Africa,Maize,2012,26857,495,21.24,TONNE_HA,CROPYIELD,44905
154,South Africa,Maize,2012,26857,495,15.89,TONNE_HA,CROPYIELD,44905
155,South Africa,Maize,2012,26857,495,19.14,TONNE_HA,CROPYIELD,44905
156,South Africa,Maize,2012,26857,495,15.89,TONNE_HA,CROPYIELD,44905
157,South Africa,Maize,2013,26857,495,21.31,TONNE_HA,CROPYIELD,42466
158,South Africa,Maize,2013,26857,495,14.98,TONNE_HA,CROPYIELD,42466
159,South Africa,Maize,2013,26857,495,18,TONNE_HA,CROPYIELD,42466
160,South Africa,Maize,2013,26857,495,14.98,TONNE_HA,CROPYIELD,42466
161,Sudan,Maize,2012,2469.47,1712,26.42,TONNE_HA,CROPYIELD,16634
162,Sudan,Maize,2012,2469.47,1712,29.96,TONNE_HA,CROPYIELD,16634
163,Sudan,Maize,2013,2469.47,1712,26.84,TONNE_HA,CROPYIELD,15997
164,Sudan,Maize,2013,2469.47,1712,30.65,TONNE_HA,CROPYIELD,15997
165,Zambia,Maize,1990,1080,1020,21.43,TONNE_HA,CROPYIELD,14316
166,Zambia,Maize,1991,1080,1020,20.84,TONNE_HA,CROPYIELD,17140
167,Zambia,Maize,1992,1080,1020,21.85,TONNE_HA,CROPYIELD,7311
168,Zambia,Maize,1993,1080,1020,21,TONNE_HA,CROPYIELD,25228
169,Zambia,Maize,1994,1080,1020,21.2,TONNE_HA,CROPYIELD,15025
170,Zambia,Maize,1995,716,1020,21.86,TONNE_HA,CROPYIELD,14185
171,Zambia,Maize,1996,1670,1020,21.19,TONNE_HA,CROPYIELD,20864
172,Zambia,Maize,1997,1670,1020,20.9,TONNE_HA,CROPYIELD,14794
173,Zambia,Maize,1998,1670,1020,21.32,TONNE_HA,CROPYIELD,12503
174,Zambia,Maize,1999,1670,1020,20.53,TONNE_HA,CROPYIELD,13759
175,Zambia,Maize,2000,1670,1020,20.66,TONNE_HA,CROPYIELD,17720
176,Zambia,Maize,2001,1670,1020,20.9,TONNE_HA,CROPYIELD,13780
177,Zambia,Maize,2002,1670,1020,21.55,TONNE_HA,CROPYIELD,14097
178,Zambia,Maize,2004,1670,1020,20.79,TONNE_HA,CROPYIELD,19239
179,Zambia,Maize,2005,1670,1020,21.97,TONNE_HA,CROPYIELD,18594
180,Zambia,Maize,2006,1670,1020,21.05,TONNE_HA,CROPYIELD,18992
181,Zambia,Maize,2007,1670,1020,20.87,TONNE_HA,CROPYIELD,23342
182,Zambia,Maize,2008,1670,1020,20.66,TONNE_HA,CROPYIELD,22442
183,Zambia,Maize,2009,1670,1020,20.76,TONNE_HA,CROPYIELD,20692
184,Zambia,Maize,2010,1670,1020,21.34,TONNE_HA,CROPYIELD,25871
185,Zambia,Maize,2011,1670,1020,20.88,TONNE_HA,CROPYIELD,27414
186,Zambia,Maize,2012,1670,1020,20.8,TONNE_HA,CROPYIELD,26545
187,Zambia,Maize,2013,1670,1020,20.14,TONNE_HA,CROPYIELD,25382
